date	ticker	open	high	low	close	volume	close_sliding	criticalDay	happy
Thu Apr 08 00:00:00 EDT 2010	"GOOG"	563.0	569.8515	560.05	567.49	19517	[526.43,526.8,532.69,541.06,545.32,554.59,564.21,562.48,560.19,576.45,581.14,579.54,563.18,565.2,565.56,566.4,560.0,557.5,549.0,557.33,562.88,562.69,562.45,566.71,567.12,568.8,571.01,568.22,563.54,567.49]	9	false
Fri Apr 09 00:00:00 EDT 2010	"GOOG"	566.87	568.77	564.0	566.22	20568	[526.8,532.69,541.06,545.32,554.59,564.21,562.48,560.19,576.45,581.14,579.54,563.18,565.2,565.56,566.4,560.0,557.5,549.0,557.33,562.88,562.69,562.45,566.71,567.12,568.8,571.01,568.22,563.54,567.49,566.22]	10	false
Mon Apr 12 00:00:00 EDT 2010	"GOOG"	567.33	574.0	566.22	572.73	23535	[532.69,541.06,545.32,554.59,564.21,562.48,560.19,576.45,581.14,579.54,563.18,565.2,565.56,566.4,560.0,557.5,549.0,557.33,562.88,562.69,562.45,566.71,567.12,568.8,571.01,568.22,563.54,567.49,566.22,572.73]	6	true
Tue Apr 13 00:00:00 EDT 2010	"GOOG"	571.22	588.88	571.13	586.77	39122	[541.06,545.32,554.59,564.21,562.48,560.19,576.45,581.14,579.54,563.18,565.2,565.56,566.4,560.0,557.5,549.0,557.33,562.88,562.69,562.45,566.71,567.12,568.8,571.01,568.22,563.54,567.49,566.22,572.73,586.77]	7	true
Wed Apr 14 00:00:00 EDT 2010	"GOOG"	592.0	592.34	584.01	589.0	34038	[545.32,554.59,564.21,562.48,560.19,576.45,581.14,579.54,563.18,565.2,565.56,566.4,560.0,557.5,549.0,557.33,562.88,562.69,562.45,566.71,567.12,568.8,571.01,568.22,563.54,567.49,566.22,572.73,586.77,589.0]	2	true
Thu Apr 15 00:00:00 EDT 2010	"GOOG"	592.12	597.84	588.287	595.3	67617	[554.59,564.21,562.48,560.19,576.45,581.14,579.54,563.18,565.2,565.56,566.4,560.0,557.5,549.0,557.33,562.88,562.69,562.45,566.71,567.12,568.8,571.01,568.22,563.54,567.49,566.22,572.73,586.77,589.0,595.3]	17	true
Fri Apr 16 00:00:00 EDT 2010	"GOOG"	563.0	568.81	549.63	550.145	122394	[564.21,562.48,560.19,576.45,581.14,579.54,563.18,565.2,565.56,566.4,560.0,557.5,549.0,557.33,562.88,562.69,562.45,566.71,567.12,568.8,571.01,568.22,563.54,567.49,566.22,572.73,586.77,589.0,595.3,550.145]	5	false
Mon Apr 19 00:00:00 EDT 2010	"GOOG"	549.1	553.99	545.0	550.1	38957	[562.48,560.19,576.45,581.14,579.54,563.18,565.2,565.56,566.4,560.0,557.5,549.0,557.33,562.88,562.69,562.45,566.71,567.12,568.8,571.01,568.22,563.54,567.49,566.22,572.73,586.77,589.0,595.3,550.145,550.1]	12	false
Tue Apr 20 00:00:00 EDT 2010	"GOOG"	554.89	559.6565	551.06	555.04	29793	[560.19,576.45,581.14,579.54,563.18,565.2,565.56,566.4,560.0,557.5,549.0,557.33,562.88,562.69,562.45,566.71,567.12,568.8,571.01,568.22,563.54,567.49,566.22,572.73,586.77,589.0,595.3,550.145,550.1,555.04]	12	false
Wed Apr 21 00:00:00 EDT 2010	"GOOG"	556.74	560.25	552.16	554.3	23927	[576.45,581.14,579.54,563.18,565.2,565.56,566.4,560.0,557.5,549.0,557.33,562.88,562.69,562.45,566.71,567.12,568.8,571.01,568.22,563.54,567.49,566.22,572.73,586.77,589.0,595.3,550.145,550.1,555.04,554.3]	18	false
Thu Apr 22 00:00:00 EDT 2010	"GOOG"	551.15	552.5	543.35	547.06	32836	[581.14,579.54,563.18,565.2,565.56,566.4,560.0,557.5,549.0,557.33,562.88,562.69,562.45,566.71,567.12,568.8,571.01,568.22,563.54,567.49,566.22,572.73,586.77,589.0,595.3,550.145,550.1,555.04,554.3,547.06]	17	false
Fri Apr 23 00:00:00 EDT 2010	"GOOG"	547.98	549.32	542.27	544.99	20898	[579.54,563.18,565.2,565.56,566.4,560.0,557.5,549.0,557.33,562.88,562.69,562.45,566.71,567.12,568.8,571.01,568.22,563.54,567.49,566.22,572.73,586.77,589.0,595.3,550.145,550.1,555.04,554.3,547.06,544.99]	5	false
Mon Apr 26 00:00:00 EDT 2010	"GOOG"	544.55	544.99	529.21	531.64	43736	[563.18,565.2,565.56,566.4,560.0,557.5,549.0,557.33,562.88,562.69,562.45,566.71,567.12,568.8,571.01,568.22,563.54,567.49,566.22,572.73,586.77,589.0,595.3,550.145,550.1,555.04,554.3,547.06,544.99,531.64]	12	false
Tue Apr 27 00:00:00 EDT 2010	"GOOG"	528.94	538.33	527.235	529.06	38447	[565.2,565.56,566.4,560.0,557.5,549.0,557.33,562.88,562.69,562.45,566.71,567.12,568.8,571.01,568.22,563.54,567.49,566.22,572.73,586.77,589.0,595.3,550.145,550.1,555.04,554.3,547.06,544.99,531.64,529.06]	9	false
Wed Apr 28 00:00:00 EDT 2010	"GOOG"	532.0	534.83	521.03	529.19	34091	[565.56,566.4,560.0,557.5,549.0,557.33,562.88,562.69,562.45,566.71,567.12,568.8,571.01,568.22,563.54,567.49,566.22,572.73,586.77,589.0,595.3,550.145,550.1,555.04,554.3,547.06,544.99,531.64,529.06,529.19]	6	false
Thu Apr 29 00:00:00 EDT 2010	"GOOG"	533.34	536.5	526.67	532.0	30588	[566.4,560.0,557.5,549.0,557.33,562.88,562.69,562.45,566.71,567.12,568.8,571.01,568.22,563.54,567.49,566.22,572.73,586.77,589.0,595.3,550.145,550.1,555.04,554.3,547.06,544.99,531.64,529.06,529.19,532.0]	4	false
Fri Apr 30 00:00:00 EDT 2010	"GOOG"	531.28	537.68	525.44	525.695	24402	[560.0,557.5,549.0,557.33,562.88,562.69,562.45,566.71,567.12,568.8,571.01,568.22,563.54,567.49,566.22,572.73,586.77,589.0,595.3,550.145,550.1,555.04,554.3,547.06,544.99,531.64,529.06,529.19,532.0,525.695]	6	false
Mon May 03 00:00:00 EDT 2010	"GOOG"	526.7	532.92	525.08	530.6	18603	[557.5,549.0,557.33,562.88,562.69,562.45,566.71,567.12,568.8,571.01,568.22,563.54,567.49,566.22,572.73,586.77,589.0,595.3,550.145,550.1,555.04,554.3,547.06,544.99,531.64,529.06,529.19,532.0,525.695,530.6]	16	false
Tue May 04 00:00:00 EDT 2010	"GOOG"	526.41	526.74	504.21	506.37	60785	[549.0,557.33,562.88,562.69,562.45,566.71,567.12,568.8,571.01,568.22,563.54,567.49,566.22,572.73,586.77,589.0,595.3,550.145,550.1,555.04,554.3,547.06,544.99,531.64,529.06,529.19,532.0,525.695,530.6,506.37]	17	false
Wed May 05 00:00:00 EDT 2010	"GOOG"	500.55	515.72	500.4701	509.76	45821	[557.33,562.88,562.69,562.45,566.71,567.12,568.8,571.01,568.22,563.54,567.49,566.22,572.73,586.77,589.0,595.3,550.145,550.1,555.04,554.3,547.06,544.99,531.64,529.06,529.19,532.0,525.695,530.6,506.37,509.76]	0	false
Thu May 06 00:00:00 EDT 2010	"GOOG"	508.68	517.52	460.0	498.67	50000	[562.88,562.69,562.45,566.71,567.12,568.8,571.01,568.22,563.54,567.49,566.22,572.73,586.77,589.0,595.3,550.145,550.1,555.04,554.3,547.06,544.99,531.64,529.06,529.19,532.0,525.695,530.6,506.37,509.76,498.67]	7	false
Fri May 07 00:00:00 EDT 2010	"GOOG"	500.0	505.32	481.33	493.14	50937	[562.69,562.45,566.71,567.12,568.8,571.01,568.22,563.54,567.49,566.22,572.73,586.77,589.0,595.3,550.145,550.1,555.04,554.3,547.06,544.99,531.64,529.06,529.19,532.0,525.695,530.6,506.37,509.76,498.67,493.14]	8	false
Mon May 10 00:00:00 EDT 2010	"GOOG"	513.31	522.82	512.6	521.65	41279	[562.45,566.71,567.12,568.8,571.01,568.22,563.54,567.49,566.22,572.73,586.77,589.0,595.3,550.145,550.1,555.04,554.3,547.06,544.99,531.64,529.06,529.19,532.0,525.695,530.6,506.37,509.76,498.67,493.14,521.65]	0	false
Tue May 11 00:00:00 EDT 2010	"GOOG"	515.01	519.88	508.22	509.05	33243	[566.71,567.12,568.8,571.01,568.22,563.54,567.49,566.22,572.73,586.77,589.0,595.3,550.145,550.1,555.04,554.3,547.06,544.99,531.64,529.06,529.19,532.0,525.695,530.6,506.37,509.76,498.67,493.14,521.65,509.05]	13	false
Wed May 12 00:00:00 EDT 2010	"GOOG"	511.3	512.04	502.0	505.39	38521	[567.12,568.8,571.01,568.22,563.54,567.49,566.22,572.73,586.77,589.0,595.3,550.145,550.1,555.04,554.3,547.06,544.99,531.64,529.06,529.19,532.0,525.695,530.6,506.37,509.76,498.67,493.14,521.65,509.05,505.39]	19	false
Thu May 13 00:00:00 EDT 2010	"GOOG"	516.0	522.0	510.37	510.88	33281	[568.8,571.01,568.22,563.54,567.49,566.22,572.73,586.77,589.0,595.3,550.145,550.1,555.04,554.3,547.06,544.99,531.64,529.06,529.19,532.0,525.695,530.6,506.37,509.76,498.67,493.14,521.65,509.05,505.39,510.88]	2	false
