lang	long	lat
"ru"	36.880267	50.39624
"en"	73.812878	18.632931
"en"	-121.459774	37.723767
"en"	12.087727	45.145123
"it"	-54.863919	-29.190632
"th"	99.82478	13.30189
"und"	20.849312	32.476584
"en"	-3.124854	51.57947
"en"	-96.837834	32.743633
"tr"	37.514279	36.36763
"es"	-60.203558	-32.178576
"ru"	37.800742	55.74316
"tr"	27.842851	37.845878
"en"	-85.577484	36.175784
"en"	-71.32159	42.622199
"th"	99.955119	12.568454
"ar"	47.979254	29.36965
"en"	-73.655251	42.249861
"en"	-76.736432	39.974011
"ja"	135.497259	34.650171
"ja"	139.528593	35.724283
"en"	-116.684763	34.948533
"fr"	2.2121	49.017856
"ru"	30.499061	50.446429
"pt"	-43.174196	-22.905809
"fr"	2.287306	48.991298
"en"	-95.395422	30.044445
"en"	-39.74521	-17.530991
"pt"	-8.60741	41.153296
"en"	106.83832	-6.27601
"fr"	120.987919	14.607004
"en"	-81.234562	29.600939
"tr"	26.859875	38.313229
"fr"	2.317083	48.891247
"en"	0.798116	52.252088
"in"	107.149143	-6.296883
"und"	2.630591	48.831327
"es"	-43.979399	-19.936949
"pt"	-46.71576	-23.562641
"en"	-81.377211	28.582199
"en"	-75.551083	10.424934
"tl"	122.551078	10.704455
"en"	-76.651298	39.253727
"es"	-70.643383	19.460846
"es"	-103.75848	19.32301
"en"	-86.190183	39.901004
"es"	-69.931399	8.753479
"en"	27.201081	38.425219
"ar"	39.955104	21.472558
"en"	-86.177507	32.368485
"en"	121.048494	14.581866
"in"	106.860426	-6.143588
"en"	-71.174994	42.3186
"es"	-1.898812	36.993898
"tr"	29.309753	40.826097
"tr"	30.630984	36.892956
"es"	-56.22513	-34.727058
"en"	-122.813732	45.674166
"in"	110.412083	-7.138062
"th"	100.615678	13.795562
"en"	-1.629854	51.237081
"tr"	28.894515	41.040164
"tl"	24.086418	22.488498
"pt"	143.643446	-65.389814
"en"	3.063306	50.63698
"en"	28.20934	-25.74629
"ru"	30.71228	46.421987
"en"	-77.522856	40.059817
"und"	37.207125	38.177014
"ja"	139.442393	36.131801
"en"	-88.171083	30.587092
"tr"	27.581149	40.994217
"en"	102.26569	2.212318
"in"	101.134506	5.444163
"en"	-81.89702	35.01771
"it"	9.501942	46.140902
"en"	-73.914429	40.691225
"in"	112.640441	-7.973869
"es"	-56.706051	-36.533749
"es"	-70.74006	-33.424159
"en"	100.477152	13.756581
"ar"	40.388015	25.619094
"it"	14.35148	41.071145
"en"	-71.368582	41.871967
"ru"	34.97965	48.526066
"en"	-73.999599	40.742735
"tr"	28.418463	40.036658
"en"	-122.330768	47.604745
"es"	-58.17599	-34.783373
"und"	-81.480282	28.462595
"en"	-87.030841	35.199802
"en"	-122.42624	47.107943
"ru"	47.27159	56.129396
"ru"	81.784938	51.134176
"en"	28.71416	40.990694
"und"	-65.099153	-43.303623
"pt"	-80.681752	28.523374
"en"	112.444002	-8.151044
"tr"	27.124557	38.358269
"tr"	32.661289	39.832514
"en"	-23.061172	12.871835
"en"	-90.18101	29.977261
"tr"	40.52289	41.025045
"tr"	32.76292	39.875464
"tr"	39.779728	40.992286
"es"	-110.963159	29.083364
"en"	-114.146778	51.039964
"pt"	-43.354849	-22.92374
"es"	-62.391915	-37.606937
"pt"	-48.035763	-23.596622
"ru"	104.158175	52.353443
"en"	13.369336	38.120069
"in"	102.548476	2.071703
"es"	-71.527814	-42.065847
"pt"	-43.330765	-23.011489
"en"	-0.166828	51.13138
"es"	-56.215953	-34.80584
"pt"	-47.829235	-21.124136
"pt"	-51.169257	-30.013363
"en"	-106.663932	35.205154
"pt"	-50.791387	-29.573875
"en"	-82.739361	27.715711
"ar"	36.36335	36.230813
"en"	-0.519058	51.015682
"en"	-120.499957	46.611336
"en"	120.974384	15.152414
"pt"	-58.332907	-34.806682
"en"	-73.382161	40.781944
"es"	-99.17587	19.409438
"es"	-56.189343	-34.862026
"en"	-82.530653	27.336435
"ja"	133.48772	33.552998
"it"	7.675744	45.059065
"en"	-74.161134	39.973072
"en"	-81.106093	40.907672
"en"	-2.353933	53.588884
"pt"	-49.625864	-27.04296
"en"	-86.143921	39.81954
"in"	119.4131	-5.16024
"es"	-58.388739	-34.590571
"es"	-71.646135	10.562835
"ar"	38.346037	25.337681
"en"	16.489036	48.030589
"en"	139.730278	35.795556
"en"	123.35508	9.79314
"es"	-95.207207	16.211722
"pt"	-38.582671	-3.76753
"tr"	36.34408	41.280663
"en"	-3.047649	39.595324
"tr"	31.672943	36.654643
"ar"	39.301023	21.407152
"en"	-90.417426	37.793632
"tr"	27.144222	38.437836
"en"	-7.251725	52.639952
"pt"	-43.522389	-22.694828
"in"	100.483853	5.132261
"tr"	26.408172	40.153621
"en"	-1.143476	52.946773
"en"	-38.49906	-12.97839
"pt"	-51.140503	-29.763551
"ja"	135.61565	34.877658
"es"	-64.288879	-36.645884
"pt"	-43.337393	-22.879919
"en"	-76.646995	39.287065
"en"	43.994815	36.228303
"ja"	135.772691	34.967096
"pt"	-67.094117	-39.110302
"pt"	-46.555691	-22.907432
"und"	-51.157439	-30.038457
"es"	-68.28384	-54.798002
"en"	-81.688014	41.496619
"es"	-56.159111	-34.881053
"ar"	41.981006	18.666548
"pt"	-44.976794	-21.227526
"en"	3.628739	6.476192
"en"	-87.499224	33.221334
"pt"	-7.921731	37.017186
"en"	-81.341241	28.572449
"en"	-71.055983	42.365503
"in"	106.67836	-6.31582
"en"	-88.253911	41.749301
"th"	100.575387	13.804205
"en"	-117.241937	32.878515
"tr"	29.045695	41.070395
"tr"	27.141058	38.437069
"tr"	29.007297	41.042692
"es"	-99.184474	19.324498
"es"	-58.50717	-34.533768
"en"	-95.336665	29.658538
"en"	-73.948737	41.710643
"es"	-66.090963	18.393423
"pt"	-51.005766	-29.931406
"en"	-73.45785	41.492301
"en"	117.123743	-0.516053
"in"	112.72446	-7.3406
"tr"	32.811444	39.888589
"en"	-93.208067	36.69741
"fr"	-0.177746	51.608039
"en"	-75.579849	41.478216
"en"	102.377529	6.087428
"ru"	53.205684	56.85729
"tr"	28.933921	41.037894
"es"	-69.218851	-51.634143
"en"	121.001447	14.480909
"en"	-117.77694	33.84345
"in"	103.874491	1.496188
"en"	0.029921	52.972973
"es"	-85.09275	10.426209
"ja"	139.733873	35.716098
"th"	100.274191	13.549756
"fr"	2.484021	49.09595
"pt"	-48.460521	-1.421471
"tr"	39.610402	41.012635
"tl"	121.049779	14.424508
"en"	-4.067305	55.757178
"en"	-76.727745	39.962598
"ja"	141.270055	43.077589
"en"	-80.671158	32.430889
"es"	-0.09566	39.935705
"fr"	1.2644	45.84225
"tr"	34.96724	40.544871
"in"	6.16149	49.061613
"en"	121.923603	11.962852
"in"	99.972322	8.42722
"it"	1.24466	41.281523
"en"	-90.657277	38.709601
"tr"	27.879686	39.646846
"es"	-56.202871	-34.906634
"pt"	-38.487567	-3.741732
"en"	-61.036891	14.616756
"en"	-118.414975	34.176627
"en"	28.202722	-25.753088
"it"	12.345307	44.125541
"fr"	2.826323	48.86085
"es"	-70.661522	-33.462577
"ar"	20.056002	32.073053
"tr"	41.287535	39.940721
"tr"	36.343853	41.27811
"en"	37.50777	55.651919
"en"	-3.762955	40.363936
"in"	27.691161	38.49436
"tr"	32.819462	39.849333
"und"	121.005171	14.612895
"tl"	121.060099	14.612674
"in"	102.137464	2.275784
"en"	-0.260691	51.332103
"en"	-101.885468	33.550812
"und"	-68.264057	-54.791029
"es"	-99.103181	19.304177
"tr"	29.515375	40.067405
"en"	-82.843185	39.977402
"es"	10.998035	45.43628
"tr"	29.025367	41.076796
"en"	-120.192306	34.57088
"pt"	-47.423653	-21.97224
"es"	-65.253363	-26.923775
"tl"	115.19154	-8.65904
"en"	88.362419	22.512311
"en"	-87.120135	37.743871
"in"	106.835713	-6.187221
"en"	55.238285	25.04792
"pt"	-43.943783	-19.929724
"en"	121.022357	14.568927
"en"	-95.627404	29.5872
"pt"	-49.930627	-22.237941
"en"	26.16512	-26.15981
"en"	-0.144208	51.530205
"tr"	28.370651	37.20794
"tr"	28.97819	41.032152
"in"	112.612883	-7.291162
"en"	76.089765	10.967555
"pt"	-43.248917	-22.881776
"in"	30.862898	-29.805334
